data_type,value,date,week_number_year,month_year
se_all,60,14-06-2019,23 2019,June 2019
se_all,61,15-06-2019,23 2019,June 2019
se_all,58,16-06-2019,23 2019,June 2019
se_all,64,17-06-2019,24 2019,June 2019
se_all,44,18-06-2019,24 2019,June 2019
se_all,35,19-06-2019,24 2019,June 2019
se_all,52,20-06-2019,24 2019,June 2019
se_all,47,21-06-2019,24 2019,June 2019
se_all,61,22-06-2019,24 2019,June 2019
se_all,42,23-06-2019,24 2019,June 2019
se_all,79,24-06-2019,25 2019,June 2019
se_all,87,25-06-2019,25 2019,June 2019
se_all,83,26-06-2019,25 2019,June 2019
se_all,75,27-06-2019,25 2019,June 2019
se_all,69,28-06-2019,25 2019,June 2019
se_all,64,29-06-2019,25 2019,June 2019
se_all,72,30-06-2019,25 2019,June 2019
se_all,81,01-07-2019,26 2019,July 2019
se_all,80,02-07-2019,26 2019,July 2019
se_all,78,03-07-2019,26 2019,July 2019
se_all,85,04-07-2019,26 2019,July 2019
se_all,78,05-07-2019,26 2019,July 2019
se_all,74,06-07-2019,26 2019,July 2019
se_all,69,07-07-2019,26 2019,July 2019
se_all,125,08-07-2019,27 2019,July 2019
se_all,111,09-07-2019,27 2019,July 2019
se_all,138,10-07-2019,27 2019,July 2019
se_all,123,11-07-2019,27 2019,July 2019
se_all,127,12-07-2019,27 2019,July 2019
se_all,83,13-07-2019,27 2019,July 2019
se_all,96,14-07-2019,27 2019,July 2019
se_all,122,15-07-2019,28 2019,July 2019
se_all,128,16-07-2019,28 2019,July 2019
se_all,135,17-07-2019,28 2019,July 2019
se_all,126,18-07-2019,28 2019,July 2019
se_all,86,19-07-2019,28 2019,July 2019
se_all,86,20-07-2019,28 2019,July 2019
se_all,114,21-07-2019,28 2019,July 2019
se_all,151,22-07-2019,29 2019,July 2019
se_all,138,23-07-2019,29 2019,July 2019
se_all,143,24-07-2019,29 2019,July 2019
se_all,108,25-07-2019,29 2019,July 2019
se_all,120,26-07-2019,29 2019,July 2019
se_all,100,27-07-2019,29 2019,July 2019
se_all,106,28-07-2019,29 2019,July 2019
se_all,141,29-07-2019,30 2019,July 2019
se_all,135,30-07-2019,30 2019,July 2019
se_all,171,31-07-2019,30 2019,July 2019
se_all,134,01-08-2019,30 2019,August 2019
se_all,125,02-08-2019,30 2019,August 2019
se_all,90,03-08-2019,30 2019,August 2019
se_all,114,04-08-2019,30 2019,August 2019
se_all,162,05-08-2019,31 2019,August 2019
se_all,167,06-08-2019,31 2019,August 2019
se_all,120,07-08-2019,31 2019,August 2019
se_all,149,08-08-2019,31 2019,August 2019
se_all,140,09-08-2019,31 2019,August 2019
se_all,107,10-08-2019,31 2019,August 2019
se_all,120,11-08-2019,31 2019,August 2019
se_all,182,12-08-2019,32 2019,August 2019
se_all,166,13-08-2019,32 2019,August 2019
se_all,129,14-08-2019,32 2019,August 2019
se_all,126,15-08-2019,32 2019,August 2019
se_all,117,16-08-2019,32 2019,August 2019
se_all,100,17-08-2019,32 2019,August 2019
se_all,123,18-08-2019,32 2019,August 2019
se_all,163,19-08-2019,33 2019,August 2019
se_all,165,20-08-2019,33 2019,August 2019
se_all,159,21-08-2019,33 2019,August 2019
se_all,157,22-08-2019,33 2019,August 2019
se_all,163,23-08-2019,33 2019,August 2019
se_all,119,24-08-2019,33 2019,August 2019
se_all,131,25-08-2019,33 2019,August 2019
se_all,175,26-08-2019,34 2019,August 2019
se_all,210,27-08-2019,34 2019,August 2019
se_all,167,28-08-2019,34 2019,August 2019
se_all,193,29-08-2019,34 2019,August 2019
se_all,118,30-08-2019,34 2019,August 2019
se_all,108,31-08-2019,34 2019,August 2019
se_all,149,01-09-2019,34 2019,September 2019
se_all,200,02-09-2019,35 2019,September 2019
se_all,221,03-09-2019,35 2019,September 2019
se_all,227,04-09-2019,35 2019,September 2019
se_all,244,05-09-2019,35 2019,September 2019
se_all,227,06-09-2019,35 2019,September 2019
se_all,189,07-09-2019,35 2019,September 2019
se_all,213,08-09-2019,35 2019,September 2019
se_all,318,09-09-2019,36 2019,September 2019
se_all,259,10-09-2019,36 2019,September 2019
se_all,272,11-09-2019,36 2019,September 2019
se_all,299,12-09-2019,36 2019,September 2019
se_all,249,13-09-2019,36 2019,September 2019
se_all,241,14-09-2019,36 2019,September 2019
se_all,287,15-09-2019,36 2019,September 2019
se_all,332,16-09-2019,37 2019,September 2019
se_all,322,17-09-2019,37 2019,September 2019
se_all,333,18-09-2019,37 2019,September 2019
se_all,367,19-09-2019,37 2019,September 2019
se_all,317,20-09-2019,37 2019,September 2019
se_all,270,21-09-2019,37 2019,September 2019
se_all,320,22-09-2019,37 2019,September 2019
se_all,464,23-09-2019,38 2019,September 2019
se_all,465,24-09-2019,38 2019,September 2019
se_all,453,25-09-2019,38 2019,September 2019
se_all,434,26-09-2019,38 2019,September 2019
se_all,398,27-09-2019,38 2019,September 2019
se_all,343,28-09-2019,38 2019,September 2019
se_all,439,29-09-2019,38 2019,September 2019
se_all,527,30-09-2019,39 2019,September 2019
se_all,614,01-10-2019,39 2019,October 2019
se_all,576,02-10-2019,39 2019,October 2019
se_all,552,03-10-2019,39 2019,October 2019
se_all,467,04-10-2019,39 2019,October 2019
se_all,379,05-10-2019,39 2019,October 2019
se_all,556,06-10-2019,39 2019,October 2019
se_all,691,07-10-2019,40 2019,October 2019
se_all,637,08-10-2019,40 2019,October 2019
se_all,582,09-10-2019,40 2019,October 2019
se_all,538,10-10-2019,40 2019,October 2019
se_all,452,11-10-2019,40 2019,October 2019
se_all,458,12-10-2019,40 2019,October 2019
se_all,452,13-10-2019,40 2019,October 2019
se_all,547,14-10-2019,41 2019,October 2019
se_all,441,15-10-2019,41 2019,October 2019
se_all,436,16-10-2019,41 2019,October 2019
se_all,420,17-10-2019,41 2019,October 2019
se_all,446,18-10-2019,41 2019,October 2019
se_all,402,19-10-2019,41 2019,October 2019
se_all,407,20-10-2019,41 2019,October 2019
se_all,566,21-10-2019,42 2019,October 2019
se_all,511,22-10-2019,42 2019,October 2019
se_all,497,23-10-2019,42 2019,October 2019
se_all,534,24-10-2019,42 2019,October 2019
se_all,496,25-10-2019,42 2019,October 2019
se_all,511,26-10-2019,42 2019,October 2019
se_all,565,27-10-2019,42 2019,October 2019
se_all,847,28-10-2019,43 2019,October 2019
se_all,872,29-10-2019,43 2019,October 2019
se_all,981,30-10-2019,43 2019,October 2019
se_all,802,31-10-2019,43 2019,October 2019
se_all,692,01-11-2019,43 2019,November 2019
se_all,632,02-11-2019,43 2019,November 2019
se_all,575,03-11-2019,43 2019,November 2019
